,Religious Community Involvement,Local Venue Visitation,Secular Volunteer Service,Online Social Networking,Workplace Socializing,Athletic Engagement,Cultural-Hobby Participation,Neighborhood Integration,Broader Event and Group Participation,Friendship Through Connections,Non-Engagement Preference,Alternative Strategies,Not Clear / Uncodeable Responses,re_category_id,nh_category_id,Nigel_Match,Response,Key_Reasons,JSON
14,0,0,1,0,0,0,0,0,1,0,0,0,0,0010000010000,0010000100000,0,Joining local organizations and volunteering.,This respondent made new friends by joining organizations and volunteering.,"{
""1"": ""0"",
""2"": ""0"",
""3"": ""1"",
""4"": ""0"",
""5"": ""0"",
""6"": ""0"",
""7"": ""1"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
15,0,0,1,1,1,0,0,0,0,0,0,0,0,0011100000000,0010000000000,0,"volunteering, posting online, going out with coworkers)","This respondent made new friends by volunteering, posting online, and going out with coworkers.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""1"", ""5"": ""1"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
17,0,0,0,1,0,0,0,0,0,0,0,1,0,0001000000010,0000101000000,0,"Take a class, go to meet-up groups, put on a class.","This respondent made new friends by taking a class, attending meet-up groups, and putting on a class.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""1"", ""5"": ""0"", ""6"": ""1"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
18,0,1,0,0,0,0,0,0,0,0,0,0,0,0100000000000,0000000000001,0,Local bar,This respondent made new friends by going to a local bar.,"{ ""1"": ""0"", ""2"": ""1"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
22,0,0,1,0,0,0,0,0,1,0,0,0,0,0010000010000,0010011000000,0,"seek out underground music scene, Burning Man related people. Go to Design talks. Race my car. Volunteer at the SPCA.","This respondent made new friends by seeking out underground music scene, connecting with Burning Man related people, attending design talks, racing their car, and volunteering at the SPCA.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
24,0,0,0,0,0,0,1,0,0,0,0,0,0,0000001000000,1000000000000,0,Masonic Lodge.,This respondent made new friends by joining the Masonic Lodge.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000,0000001000000,0,"go out dancing, meet people, do Meet-UP","This respondent made new friends by going out dancing, meeting people, and using Meet-UP.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""1"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000,1000001000000,0,"join a church, writing groups to join",This respondent made new friends by joining a church and writing groups.,"{ ""1"": ""1"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
37,1,0,0,0,0,0,0,0,1,0,0,0,0,1000000010000,1000001000000,0,"We would find social organizations, churches or social clubs.","This respondent made new friends by joining social organizations, churches, and social clubs.","{ ""1"": ""1"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
38,0,0,0,0,0,0,0,0,1,0,0,0,0,0000000010000,0000001000000,0,look for common interest groups and public activities,This respondent made new friends by looking for common interest groups and public activities.,"{
""1"": ""0"",
""2"": ""0"",
""3"": ""0"",
""4"": ""1"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
41,0,0,1,0,0,0,0,0,1,0,0,0,0,0010000010000,0010100000000,0,Any college & business associations and volunteering.,"This respondent made new friends by joining college & business associations, and volunteering.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""1"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
42,0,0,1,0,1,0,0,0,1,0,0,0,0,0010100010000,0010100100000,0,"Coworkers and local events, volunteering.","This respondent made new friends by: 
- Coworkers
- Local events
- Volunteering","{
""1"": ""0"",
""2"": ""0"",
""3"": ""1"",
""4"": ""0"",
""5"": ""1"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
44,0,0,0,1,0,0,0,0,0,0,0,1,0,0001000000010,0001100000000,0,Enroll in classes and go to meetup.com.,This respondent made new friends by enrolling in classes and using meetup.com.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""1"", ""5"": ""0"", ""6"": ""0"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
45,0,0,1,0,0,0,0,0,1,0,0,0,0,0010000010000,0010000000000,0,Join clubs and volunteer,This respondent made new friends by joining clubs and volunteering.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
48,0,1,0,1,1,0,0,0,0,0,0,0,0,0101100000000,0100100001000,0,"meet people at my job, through my collegues who would invite me to their friends, Join Meet-up group for engineers, sometimes talk to people in a bar.","This respondent made new friends by:
- Meeting people at their job
- Through their colleagues who would invite them to their friends
- Joining a Meet-up group for engineers
- Talking to people in a bar","{ ""1"": ""0"", ""2"": ""1"", ""3"": ""0"", ""4"": ""0"", ""5"": ""1"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
49,0,0,0,0,0,0,0,1,1,0,0,0,0,0000000110000,0001000010000,0,I'd probably join more community based clubs or organizations. Or join orgs geared toward younger professionals. Also Eventbrite.,"This respondent made new friends by joining community clubs, organizations, and orgs for younger professionals.","{
""1"": ""0"",
""2"": ""0"",
""3"": ""0"",
""4"": ""1"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
50,0,0,0,0,0,1,0,0,0,0,0,0,0,0000010000000,0000011000000,0,I would join sports teams or take classes of things I find interesting.,This respondent made new friends by joining sports teams and taking classes.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
53,0,1,1,0,1,0,0,0,1,0,0,0,0,0110100010000,0100100010000,0,"I would probably go out with coworkers or getting involved in political campaigns, volunteering, probably going out to restaurants and bars.","This respondent made new friends by going out with coworkers, getting involved in political campaigns, volunteering, going out to restaurants and bars.","{ ""1"": ""0"", ""2"": ""1"", ""3"": ""1"", ""4"": ""0"", ""5"": ""1"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
54,0,0,0,1,1,1,0,0,0,0,0,0,0,0001110000000,0010010000000,0,"Volunteering, joining a fitness community or going out with coworkes. Yoga, those types of things.","This respondent made new friends by volunteering, joining a fitness community, going out with coworkers, and practicing yoga.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""1"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
56,0,0,0,0,0,0,0,0,0,0,0,0,1,0000000000001,0000000000100,0,Pretty much the same.,"This respondent made new friends by: 
- Taking similar steps 
- Engaging in similar activities","{
""1"": ""0"",
""2"": ""1"",
""3"": ""0"",
""4"": ""1"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
60,0,0,0,0,0,0,0,1,0,0,0,0,0,0000000100000,0000010100000,0,"go to the park, neighbors",This respondent made new friends by going to the park and meeting neighbors.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""1"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
61,0,0,0,0,1,0,1,0,0,0,0,0,0,0000101000000,0100101000000,0,"A couple different avenues; if I'm moving because of work, I'd try to get to know my coworkers, and I'd try to pick back up hobbies that I enjoy and find people that do similar things, and the third thing would be trying new things locally and","This respondent made new friends by:
- Getting to know coworkers
- Picking up hobbies and finding like-minded people
- Trying new things locally","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""1"", ""6"": ""0"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
62,0,0,0,0,0,0,0,0,1,0,0,0,0,0000000010000,0000001000000,0,Join organizations that contain my interests.,This respondent made new friends by joining organizations based on their interests.,"{
""1"": ""0"",
""2"": ""0"",
""3"": ""0"",
""4"": ""0"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""1"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
63,1,0,1,1,0,0,0,0,0,0,0,0,0,1011000000000,1000101000000,0,"Join the Unitarian church, look on MeetUp for people with common interests, get involved with the local Mensa group, volunteer work","This respondent made new friends by joining a church, using MeetUp, getting involved with a Mensa group, and doing volunteer work.","{ ""1"": ""1"", ""2"": ""0"", ""3"": ""1"", ""4"": ""1"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
64,0,1,0,0,0,0,0,0,0,0,0,1,0,0100000000010,0100010000000,0,"Probably local bars or restaurants, or motorcycle rides.",This respondent made new friends by going to local bars or restaurants and going on motorcycle rides.,"{ ""1"": ""0"", ""2"": ""1"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
65,0,0,0,0,0,0,0,1,0,0,0,0,0,0000000100000,0010000100000,0,hold an open house with food and desserts invite the neighbors over,This respondent made new friends by holding an open house and inviting neighbors.,"{
""1"": ""0"",
""2"": ""0"",
""3"": ""0"",
""4"": ""0"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""1"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
67,1,0,0,1,0,0,1,0,1,0,0,0,0,1001001010000,0010111000000,0,"join local yacht club, take classes at local college, check out library, see any volunteer opportunities, join local choir","This respondent made new friends by joining a local yacht club, taking classes at a local college, checking out the library, exploring volunteer opportunities, and joining a local choir.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""1"", ""8"": ""1"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
70,0,0,0,0,1,1,0,0,0,0,0,0,0,0000110000000,0100110000000,0,"Probably with Coworkers, joining a softball league or a running club. Maybe going out to bars.","This respondent made new friends by: 
- Joining a softball league 
- Joining a running club 
- Going out to bars","{ ""1"": ""0"", ""2"": ""1"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
71,1,0,1,0,1,0,1,0,0,0,0,0,0,1010101000000,1010001000000,0,"Join a church, book group,volunteer , co workers","This respondent made new friends by joining a church, book group, volunteering, and connecting with co-workers.","{ ""1"": ""1"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""1"", ""6"": ""0"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
75,0,0,1,0,0,1,1,1,0,0,0,0,0,0010011100000,0000011100000,0,"volunteering, join local skydive club, meet neighbors, join winemaking gorup","This respondent made new friends by volunteering, joining a local skydive club, meeting neighbors, and joining a winemaking group.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""1"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
76,0,0,0,0,0,0,0,0,1,0,0,0,0,0000000010000,0000100000000,0,connect with my SGI organization,This respondent made new friends by connecting with their SGI organization.,"{
""1"": ""0"",
""2"": ""0"",
""3"": ""0"",
""4"": ""0"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
78,0,1,0,0,0,0,0,0,0,1,0,1,0,0100000001010,0100000001000,0,"If I was to go up (Lake County) there I would meet them at the coffee shop or meet them through other friends. Grocery store, up there it's more like country, rural.","This respondent made new friends by meeting them at the coffee shop, meeting them through other friends, and in a country/rural setting.","{ ""1"": ""0"", ""2"": ""1"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
79,0,1,1,0,0,0,0,0,0,0,0,0,0,0110000000000,0110000100000,0,"I don't know. we might volunteer. I like to do things like store shopping, farmers markets, bars. We are so busy. Maybe if I had a job,","This respondent made new friends by volunteering, store shopping, visiting farmers markets, and going to bars.","{ ""1"": ""0"", ""2"": ""1"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
80,1,0,0,0,0,1,0,1,0,0,0,0,0,1000010100000,1010011000000,0,"get involved in local synagogue, join a gym, be involved in the community, volunteer in community things, restoration projects","This respondent made new friends by getting involved in local synagogue, joining a gym, being involved in the community, volunteering in community things, and restoration projects.","{ ""1"": ""1"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""1"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
83,0,0,0,0,0,0,0,0,0,0,0,1,0,0000000000010,0000000000100,0,"I wouldn't think of how to do it, I would just do it. I make friends easily. I don't really need a lot of friends. My best friend is my husband. When I go out and about I start talking to people in line, or at peet's i'll talk to people. Talk",This respondent made new friends by talking to people.,"{
""1"": ""0"",
""2"": ""0"",
""3"": ""0"",
""4"": ""0"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""1"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
84,0,0,0,1,0,1,1,0,0,0,0,1,0,0001011000010,0001011000000,0,"Go on line and look at meet ups and I would look for classes, evening classes. Adult ed. I like certain hobbies so I would do that. I study french, cycling. I would do some of those social things.","This respondent made new friends by:
- Going online and looking at meetups
- Looking for classes, specifically evening classes and adult education
- Engaging in social activities related to their hobbies, such as studying French and cycling","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""1"", ""5"": ""0"", ""6"": ""1"", ""7"": ""1"", ""8"": ""0"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
88,0,0,0,1,0,0,1,0,0,0,0,1,0,0001001000010,0101101000000,0,"I'd explore the local meet-up groups. Ideally, there's a college or community college nearby where I'd take classes and meet people. Possibly with co-workers. I'd look for book groups at the library. Would also join and check out ""Nextdoor.com","This respondent made new friends by exploring meet-up groups, taking classes, meeting people through co-workers, joining book groups, and checking out ""Nextdoor.com"".","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""1"", ""5"": ""1"", ""6"": ""0"", ""7"": ""1"", ""8"": ""1"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
89,0,0,0,0,0,1,0,1,0,0,0,1,0,0000010100010,0000010000000,0,"Join a gym, go to community meetings, go to the Library, invite neighbors over for a get-together.","This respondent made new friends by joining a gym, attending community meetings, going to the library, and inviting neighbors over for a get-together.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""1"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
90,0,0,0,0,0,0,0,0,0,0,0,1,0,0000000000010,0000000000100,0,"i would just conduct my ordinary functional life and meet people spontaneously as i go, i meet people all the time.",This respondent made new friends by conducting their ordinary functional life and meeting people spontaneously as they go.,"{
""1"": ""0"",
""2"": ""1"",
""3"": ""0"",
""4"": ""0"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
93,0,0,1,0,1,0,0,0,0,0,0,0,0,0010100000000,0010000000000,0,Coworkers & volunteer.,"This respondent made new friends by: 
- Coworkers 
- Volunteer","{
""1"": ""0"",
""2"": ""0"",
""3"": ""1"",
""4"": ""0"",
""5"": ""1"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
94,0,0,0,1,0,1,0,0,0,0,0,1,0,0001010000010,0000011000000,0,"I hike, I join hiking groups, I do meet up, Carpool.","This respondent made new friends by hiking, joining hiking groups, using meet up, and carpooling.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""1"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
95,0,0,1,0,1,1,1,1,0,0,0,0,0,0010111100000,0000110100000,0,"I would join groups that were doing things I was interested in like environmental groups, fly-fishing, hiking clubs, etc. If I was working I would go out with coworkers. I would invite neighbors over to barbeque. I would volunteer.","This respondent made new friends by joining groups, going out with coworkers, inviting neighbors over, and volunteering.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""1"", ""6"": ""0"", ""7"": ""0"", ""8"": ""1"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
96,0,1,0,1,1,0,1,0,1,0,0,0,0,0101101010000,0101101000000,0,"Make friends with co-workers, take classes for hobbies, join a sanga, get involved with political groups, go to local music/book/lecture events that interest me, pay attention to local Instagram, Yelp, etc. for meetups that might interest me,","This respondent made new friends by:
- Making friends with co-workers
- Taking classes for hobbies
- Joining a sanga
- Getting involved with political groups
- Attending local music/book/lecture events
- Paying attention to local Instagram, Yelp, etc. for meetups","{ ""1"": ""0"", ""2"": ""1"", ""3"": ""0"", ""4"": ""0"", ""5"": ""1"", ""6"": ""0"", ""7"": ""1"", ""8"": ""0"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
97,0,1,1,0,0,0,1,0,0,0,0,0,0,0110001000000,0110011000000,0,"Volunteer, join local civic clubs, here I belong to the outdoor art club. Walk the dog. Local groups, painting clubs, golf.","This respondent made new friends by volunteering, joining local civic clubs, belonging to an outdoor art club, walking the dog, joining local groups, joining painting clubs, and playing golf.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""1"", ""8"": ""0"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
98,0,0,1,0,0,0,0,0,0,0,0,1,0,0010000000010,0010011100000,0,Well I guess look around to see what kind of activities are going on . I am a reader so I would look around at libraries. I would volunteer. I'm part of big brothers big sisters program. Join a pool.,"This respondent made new friends by:
- Looking for activities
- Visiting libraries
- Volunteering
- Joining a big brothers big sisters program
- Joining a pool","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""1"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
100,0,0,0,0,0,0,1,0,1,0,0,0,0,0000001010000,0100001000000,0,"try to get involved in some community groups, or groups related to things i'm interested in to meet people with like interests",This respondent made new friends by getting involved in community and interest-based groups.,"{
""1"": ""0"",
""2"": ""0"",
""3"": ""0"",
""4"": ""1"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
